,YEAR,MONTH,Price / kg,Season,Average Temperature (°C),Rainfall (mm),Relative Humidity (%),Pressure (mb),Rice Production (mt),Palay Production (mt),Stockpile (mt),Area (ha),Yield ( / ha in mt),Fertilizer Complete (14-14-14),Inflation Rate (%)
2,1990,1.0,8.6,0,26.82,105.29,81.28,1009.0,8389.0,8389.0,1689.5,3130.0,2.68,275.0,5.07139175257732
6,1990,2.0,9.0,0,27.44,22.29,78.17,1011.0,8389.0,8389.0,1568.0,3130.0,2.68,286.0,5.07139175257732
10,1990,3.0,8.5,0,27.74,51.1,77.66,1010.0,8389.0,8389.0,1560.5,3130.0,2.68,287.0,5.07139175257732
14,1990,4.0,8.95,0,28.33,80.99,78.24,1008.0,8389.0,8389.0,1485.2,3130.0,2.68,287.0,5.07139175257732
18,1990,5.0,9.7,0,27.48,291.79,85.31,1008.0,8389.0,8389.0,1485.2,3130.0,2.68,287.0,5.07139175257732
22,1990,6.0,9.7,1,27.03,322.4,86.62,1008.0,8389.0,8389.0,1486.4,3130.0,2.68,288.0,5.07139175257732
26,1990,7.0,9.15,1,26.86,134.79,84.96,1009.0,20629.0,20629.0,1366.6,6670.0,3.09,288.0,5.07139175257732
30,1990,8.0,9.15,1,27.16,192.79,84.84,1008.0,20629.0,20629.0,1283.4,6670.0,3.09,287.0,5.07139175257732
34,1990,9.0,8.95,1,26.95,382.5,84.2,1009.0,20629.0,20629.0,1180.0,6670.0,3.09,287.0,5.07139175257732
38,1990,10.0,8.75,1,26.85,185.19,86.17,1009.0,20629.0,20629.0,1208.2,6670.0,3.09,320.0,5.07139175257732
42,1990,11.0,9.6,1,26.74,249.29,84.24,1009.0,20629.0,20629.0,1729.6,6670.0,3.09,320.0,5.07139175257732
46,1990,12.0,9.3,0,27.03,50.2,80.89,1009.0,20629.0,20629.0,2232.9,6670.0,3.09,320.0,5.07139175257732
50,1991,1.0,9.35,0,27.12,57.9,78.92,1009.0,13301.0,13301.0,1899.3,4210.0,3.16,334.0,5.07139175257732
54,1991,2.0,9.4,0,26.99,67.09,80.44,1010.0,13301.0,13301.0,1739.0,4210.0,3.16,350.0,5.07139175257732
58,1991,3.0,9.3,0,27.28,74.5,79.94,1009.0,13301.0,13301.0,1692.8,4210.0,3.16,370.0,5.07139175257732
62,1991,4.0,9.3,0,27.52,96.99,83.53,1008.0,13301.0,13301.0,2011.7,4210.0,3.16,380.0,5.07139175257732
66,1991,5.0,9.6,0,27.35,165.69,85.07,1009.0,13301.0,13301.0,2004.4,4210.0,3.16,385.0,5.07139175257732
70,1991,6.0,9.6,1,27.33,182.39,84.35,1009.0,13301.0,13301.0,2125.4,4210.0,3.16,390.0,5.07139175257732
74,1991,7.0,9.7,1,26.88,209.69,85.06,1009.0,20056.0,20056.0,1821.2,8370.0,2.4,385.0,5.07139175257732
78,1991,8.0,9.9,1,27.09,122.3,84.15,1009.0,20056.0,20056.0,1560.1,8370.0,2.4,388.0,5.07139175257732
82,1991,9.0,9.5,1,27.23,76.19,82.16,1010.0,20056.0,20056.0,1344.2,8370.0,2.4,380.0,5.07139175257732
86,1991,10.0,9.4,1,26.68,238.09,83.5,1009.0,20056.0,20056.0,1445.2,8370.0,2.4,380.0,5.07139175257732
90,1991,11.0,9.2,1,27.08,85.4,82.48,1009.0,20056.0,20056.0,1776.1,8370.0,2.4,378.0,5.07139175257732
94,1991,12.0,9.2,0,27.11,52.0,80.48,1009.0,20056.0,20056.0,1970.0,8370.0,2.4,370.0,5.07139175257732
98,1992,1.0,9.4,0,27.09,42.2,77.47,1009.2822580645161,9795.0,9795.0,2120.4,3810.0,2.57,370.0,8.6
102,1992,2.0,9.3,0,27.4,23.5,75.58,1011.0,9795.0,9795.0,1809.7,3810.0,2.57,370.0,8.6
106,1992,3.0,9.4,0,27.79,38.1,76.36,1011.0,9795.0,9795.0,1693.2,3810.0,2.57,370.0,8.6
110,1992,4.0,9.65,0,28.18,62.0,77.59,1009.0,9795.0,9795.0,1848.8,3810.0,2.57,370.0,8.6
114,1992,5.0,10.45,0,27.58,150.89,83.44,1008.0,9795.0,9795.0,1772.3,3810.0,2.57,370.0,8.6
118,1992,6.0,10.4,1,26.99,315.59,85.79,1008.0,9795.0,9795.0,1678.1,3810.0,2.57,370.0,8.6
